DOCUMENTO,REPETICIONES
010.html,2.0
019.html,3.0
002.html,2.0
007.html,2.0
009.html,4.0
010.html,2.0
019.html,8.0
009.html,3.0
010.html,1.0
019.html,4.0
002.html,1.0
009.html,2.0
011.html,1.0
019.html,10.0
002.html,4.0
007.html,2.0
009.html,3.0
019.html,6.0
002.html,3.0
007.html,5.0
007.html,4.0
017.html,1.0
019.html,1.0
009.html,1.0
010.html,2.0
017.html,1.0
011.html,6.0
002.html,6.0
007.html,1.0
009.html,2.0
011.html,1.0
017.html,1.0
019.html,4.0
002.html,1.0
009.html,1.0
019.html,2.0
004.html,1.0
007.html,3.0
009.html,1.0
011.html,3.0
012.html,4.0
019.html,2.0
007.html,4.0
008.html,1.0
009.html,3.0
018.html,3.0
019.html,2.0
002.html,2.0
009.html,3.0
011.html,1.0
019.html,9.0
002.html,8.0
004.html,3.0
007.html,5.0
012.html,5.0
002.html,1.0
007.html,6.0
016.html,1.0
019.html,1.0
002.html,5.0
007.html,11.0
009.html,2.0
010.html,4.0
011.html,1.0
017.html,1.0
019.html,3.0
002.html,1.0
007.html,5.0
009.html,1.0
010.html,1.0
011.html,2.0
015.html,1.0
019.html,2.0
009.html,2.0
019.html,1.0
002.html,2.0
007.html,11.0
009.html,1.0
010.html,2.0
019.html,7.0
002.html,3.0
007.html,1.0
008.html,1.0
009.html,1.0
011.html,2.0
019.html,3.0
002.html,15.0
007.html,3.0
011.html,1.0
002.html,5.0
007.html,9.0
011.html,1.0
016.html,3.0
002.html,3.0
007.html,3.0
019.html,3.0
002.html,37.0
016.html,1.0
002.html,2.0
007.html,9.0
019.html,2.0
002.html,3.0
007.html,1.0
012.html,1.0
019.html,8.0
005.html,2.0
007.html,5.0
007.html,5.0
008.html,5.0
009.html,1.0
010.html,1.0
011.html,2.0
016.html,1.0
002.html,1.0
019.html,2.0
002.html,1.0
007.html,6.0
009.html,1.0
011.html,3.0
019.html,2.0
007.html,7.0
009.html,1.0
007.html,1.0
008.html,2.0
009.html,1.0
011.html,1.0
019.html,4.0
002.html,1.0
007.html,20.0
008.html,1.0
009.html,1.0
015.html,1.0
002.html,1.0
007.html,4.0
010.html,1.0
019.html,4.0
004.html,1.0
011.html,20.0
007.html,7.0
009.html,1.0
011.html,2.0
015.html,1.0
017.html,1.0
019.html,1.0
002.html,4.0
007.html,4.0
011.html,2.0
019.html,1.0
004.html,1.0
007.html,6.0
019.html,1.0
009.html,1.0
011.html,25.0
011.html,2.0
019.html,1.0
002.html,7.0
002.html,6.0
008.html,1.0
019.html,1.0
002.html,1.0
008.html,1.0
009.html,1.0
002.html,3.0
004.html,1.0
007.html,1.0
011.html,1.0
012.html,1.0
014.html,1.0
019.html,3.0
020.html,1.0
004.html,1.0
011.html,2.0
007.html,1.0
011.html,1.0
019.html,3.0
007.html,25.0
011.html,1.0
007.html,2.0
011.html,1.0
007.html,2.0
011.html,1.0
016.html,1.0
019.html,7.0
002.html,2.0
009.html,1.0
018.html,1.0
019.html,5.0
002.html,1.0
011.html,1.0
002.html,2.0
007.html,3.0
009.html,1.0
011.html,2.0
002.html,1.0
007.html,3.0
011.html,1.0
019.html,6.0
002.html,1.0
007.html,8.0
009.html,1.0
010.html,2.0
002.html,1.0
019.html,8.0
002.html,32.0
007.html,1.0
019.html,1.0
007.html,5.0
019.html,1.0
011.html,12.0
011.html,1.0
019.html,3.0
002.html,1.0
007.html,8.0
016.html,2.0
002.html,1.0
003.html,2.0
009.html,1.0
011.html,5.0
019.html,3.0
002.html,3.0
007.html,1.0
008.html,1.0
009.html,1.0
016.html,1.0
019.html,1.0
002.html,8.0
007.html,2.0
011.html,2.0
002.html,9.0
008.html,3.0
009.html,4.0
012.html,2.0
017.html,2.0
005.html,33.0
007.html,1.0
018.html,1.0
007.html,1.0
009.html,1.0
010.html,1.0
019.html,1.0
007.html,23.0
007.html,4.0
011.html,3.0
019.html,1.0
007.html,9.0
018.html,1.0
002.html,30.0
016.html,1.0
002.html,2.0
007.html,2.0
009.html,6.0
016.html,1.0
018.html,1.0
019.html,2.0
002.html,3.0
007.html,2.0
008.html,1.0
015.html,1.0
019.html,2.0
002.html,1.0
009.html,2.0
019.html,5.0
002.html,4.0
016.html,2.0
019.html,4.0
007.html,23.0
007.html,7.0
019.html,3.0
007.html,25.0
015.html,2.0
002.html,6.0
008.html,2.0
009.html,3.0
016.html,3.0
019.html,2.0
002.html,2.0
017.html,1.0
019.html,1.0
002.html,2.0
007.html,3.0
011.html,1.0
019.html,1.0
012.html,1.0
019.html,1.0
002.html,3.0
002.html,1.0
004.html,1.0
007.html,6.0
010.html,1.0
011.html,1.0
002.html,23.0
010.html,1.0
019.html,1.0
007.html,5.0
019.html,2.0
002.html,3.0
007.html,2.0
011.html,1.0
019.html,5.0
002.html,2.0
007.html,2.0
009.html,1.0
011.html,3.0
019.html,1.0
007.html,2.0
009.html,1.0
019.html,1.0
007.html,4.0
019.html,8.0
007.html,5.0
007.html,4.0
010.html,1.0
011.html,2.0
019.html,19.0
002.html,1.0
009.html,2.0
010.html,1.0
019.html,1.0
002.html,1.0
018.html,1.0
019.html,4.0
002.html,1.0
003.html,2.0
008.html,2.0
009.html,1.0
016.html,2.0
019.html,4.0
002.html,1.0
007.html,1.0
011.html,2.0
019.html,5.0
009.html,5.0
019.html,2.0
009.html,25.0
009.html,3.0
019.html,6.0
011.html,3.0
019.html,1.0
011.html,5.0
016.html,1.0
019.html,2.0
002.html,1.0
007.html,3.0
009.html,1.0
002.html,2.0
016.html,1.0
019.html,3.0
002.html,1.0
019.html,1.0
002.html,11.0
007.html,1.0
008.html,2.0
009.html,1.0
016.html,1.0
019.html,2.0
004.html,1.0
007.html,5.0
011.html,1.0
019.html,2.0
007.html,3.0
009.html,2.0
011.html,6.0
019.html,3.0
002.html,1.0
008.html,3.0
016.html,7.0
002.html,2.0
010.html,1.0
011.html,1.0
019.html,1.0
002.html,1.0
007.html,2.0
015.html,1.0
016.html,1.0
018.html,1.0
019.html,1.0
002.html,1.0
007.html,4.0
009.html,1.0
011.html,1.0
019.html,3.0
002.html,7.0
007.html,4.0
010.html,1.0
002.html,1.0
016.html,2.0
019.html,9.0
002.html,2.0
004.html,1.0
007.html,5.0
011.html,1.0
004.html,1.0
007.html,1.0
009.html,4.0
019.html,2.0
002.html,7.0
002.html,10.0
019.html,4.0
002.html,1.0
008.html,10.0
009.html,1.0
010.html,2.0
019.html,3.0
002.html,1.0
003.html,1.0
009.html,1.0
018.html,1.0
019.html,2.0
002.html,3.0
002.html,7.0
007.html,2.0
010.html,3.0
015.html,1.0
019.html,5.0
004.html,1.0
007.html,1.0
008.html,1.0
019.html,13.0
007.html,3.0
008.html,1.0
011.html,6.0
011.html,2.0
011.html,14.0
012.html,1.0
019.html,5.0
002.html,1.0
007.html,3.0
019.html,8.0
002.html,1.0
007.html,4.0
016.html,1.0
002.html,1.0
007.html,1.0
009.html,2.0
012.html,4.0
019.html,4.0
002.html,1.0
009.html,3.0
019.html,1.0
002.html,2.0
019.html,7.0
002.html,3.0
007.html,5.0
009.html,1.0
019.html,1.0
002.html,2.0
010.html,1.0
016.html,1.0
019.html,4.0
002.html,2.0
017.html,1.0
019.html,3.0
002.html,1.0
007.html,1.0
011.html,1.0
019.html,1.0
002.html,3.0
003.html,1.0
007.html,3.0
009.html,1.0
011.html,2.0
019.html,7.0
004.html,6.0
011.html,2.0
007.html,5.0
011.html,1.0
007.html,4.0
007.html,3.0
011.html,1.0
015.html,1.0
019.html,2.0
007.html,7.0
009.html,1.0
019.html,6.0
007.html,21.0
007.html,8.0
009.html,1.0
019.html,11.0
011.html,11.0
015.html,4.0
019.html,12.0
002.html,2.0
007.html,3.0
009.html,2.0
011.html,1.0
002.html,1.0
007.html,2.0
009.html,1.0
019.html,4.0
002.html,1.0
008.html,1.0
019.html,1.0
002.html,1.0
007.html,12.0
008.html,1.0
009.html,1.0
016.html,3.0
003.html,2.0
009.html,3.0
010.html,2.0
011.html,1.0
004.html,1.0
007.html,19.0
007.html,13.0
010.html,1.0
019.html,1.0
007.html,3.0
009.html,1.0
010.html,1.0
019.html,2.0
007.html,21.0
009.html,3.0
009.html,1.0
011.html,1.0
019.html,1.0
010.html,2.0
019.html,5.0
016.html,1.0
019.html,7.0
019.html,1.0
019.html,1.0
002.html,1.0
008.html,1.0
002.html,1.0
007.html,2.0
009.html,2.0
019.html,6.0
002.html,4.0
002.html,5.0
007.html,3.0
016.html,1.0
019.html,4.0
004.html,1.0
011.html,1.0
016.html,1.0
004.html,2.0
012.html,2.0
018.html,1.0
007.html,4.0
008.html,1.0
016.html,1.0
019.html,2.0
007.html,10.0
019.html,1.0
007.html,6.0
009.html,2.0
019.html,1.0
007.html,20.0
007.html,22.0
009.html,1.0
011.html,1.0
019.html,3.0
009.html,2.0
010.html,1.0
019.html,5.0
011.html,1.0
011.html,1.0
011.html,2.0
019.html,5.0
016.html,2.0
019.html,5.0
019.html,2.0
002.html,2.0
007.html,5.0
011.html,1.0
019.html,2.0
002.html,1.0
015.html,2.0
002.html,1.0
016.html,1.0
019.html,1.0
002.html,11.0
016.html,2.0
018.html,1.0
002.html,2.0
004.html,1.0
009.html,1.0
019.html,2.0
002.html,4.0
007.html,2.0
002.html,5.0
008.html,1.0
004.html,3.0
009.html,2.0
011.html,2.0
012.html,3.0
019.html,1.0
004.html,1.0
011.html,4.0
004.html,1.0
007.html,6.0
009.html,2.0
010.html,1.0
016.html,1.0
019.html,6.0
007.html,1.0
009.html,2.0
011.html,1.0
019.html,2.0
007.html,1.0
009.html,1.0
019.html,5.0
007.html,2.0
008.html,5.0
009.html,1.0
011.html,1.0
016.html,3.0
019.html,2.0
009.html,2.0
009.html,2.0
017.html,2.0
009.html,5.0
019.html,2.0
011.html,1.0
011.html,1.0
019.html,5.0
002.html,3.0
011.html,1.0
002.html,7.0
019.html,4.0
002.html,3.0
003.html,2.0
008.html,5.0
011.html,4.0
015.html,4.0
020.html,2.0
002.html,5.0
004.html,1.0
008.html,1.0
002.html,1.0
002.html,2.0
007.html,4.0
019.html,1.0
002.html,3.0
007.html,2.0
002.html,2.0
009.html,2.0
011.html,2.0
002.html,1.0
019.html,12.0
002.html,1.0
008.html,1.0
019.html,9.0
002.html,8.0
010.html,1.0
019.html,2.0
002.html,3.0
007.html,12.0
019.html,2.0
007.html,13.0
007.html,4.0
018.html,1.0
019.html,3.0
007.html,15.0
008.html,1.0
018.html,3.0
009.html,1.0
016.html,2.0
018.html,1.0
019.html,4.0
009.html,3.0
019.html,3.0
009.html,20.0
011.html,8.0
002.html,1.0
007.html,3.0
011.html,1.0
019.html,2.0
002.html,1.0
007.html,1.0
019.html,1.0
002.html,7.0
010.html,1.0
019.html,3.0
002.html,5.0
016.html,1.0
002.html,1.0
007.html,3.0
002.html,1.0
007.html,2.0
009.html,3.0
011.html,1.0
002.html,15.0
019.html,1.0
002.html,2.0
019.html,3.0
002.html,3.0
010.html,9.0
019.html,1.0
002.html,1.0
007.html,1.0
011.html,9.0
002.html,8.0
009.html,1.0
011.html,1.0
019.html,1.0
002.html,1.0
015.html,2.0
019.html,1.0
002.html,5.0
007.html,2.0
008.html,1.0
002.html,1.0
008.html,2.0
016.html,1.0
019.html,6.0
002.html,1.0
007.html,1.0
010.html,1.0
019.html,2.0
004.html,1.0
007.html,1.0
009.html,1.0
007.html,1.0
009.html,4.0
019.html,3.0
007.html,3.0
009.html,1.0
019.html,8.0
007.html,10.0
009.html,1.0
019.html,1.0
007.html,2.0
009.html,2.0
019.html,1.0
007.html,5.0
015.html,3.0
007.html,2.0
007.html,1.0
010.html,1.0
016.html,1.0
019.html,1.0
007.html,2.0
009.html,2.0
011.html,1.0
007.html,8.0
007.html,2.0
011.html,1.0
019.html,2.0
007.html,1.0
007.html,3.0
011.html,2.0
015.html,2.0
018.html,2.0
007.html,1.0
019.html,2.0
008.html,1.0
016.html,1.0
009.html,1.0
012.html,1.0
016.html,1.0
019.html,3.0
018.html,1.0
019.html,15.0
002.html,1.0
007.html,2.0
002.html,3.0
007.html,1.0
011.html,1.0
019.html,2.0
002.html,1.0
007.html,4.0
011.html,1.0
019.html,1.0
002.html,2.0
004.html,3.0
007.html,5.0
012.html,5.0
002.html,1.0
019.html,3.0
002.html,3.0
007.html,3.0
009.html,1.0
019.html,1.0
002.html,1.0
019.html,3.0
002.html,2.0
002.html,1.0
008.html,3.0
010.html,1.0
019.html,3.0
002.html,2.0
019.html,4.0
002.html,1.0
019.html,1.0
002.html,11.0
019.html,2.0
002.html,1.0
007.html,4.0
019.html,2.0
007.html,6.0
019.html,4.0
007.html,1.0
019.html,1.0
007.html,1.0
009.html,2.0
016.html,1.0
019.html,2.0
007.html,3.0
019.html,2.0
007.html,2.0
015.html,1.0
007.html,1.0
007.html,1.0
011.html,1.0
016.html,1.0
007.html,1.0
009.html,2.0
011.html,1.0
019.html,1.0
009.html,4.0
016.html,1.0
019.html,2.0
011.html,8.0
011.html,1.0
019.html,1.0
019.html,1.0
002.html,1.0
004.html,1.0
007.html,5.0
011.html,1.0
002.html,1.0
011.html,1.0
002.html,3.0
018.html,1.0
002.html,12.0
002.html,1.0
004.html,1.0
011.html,2.0
019.html,1.0
002.html,3.0
007.html,6.0
011.html,2.0
002.html,5.0
002.html,2.0
002.html,1.0
019.html,1.0
003.html,1.0
004.html,2.0
